SalePrice,Neighborhood,YearBuilt,Garage,Fireplace,Condition,HouseStyle,BuildingType,HalfBath,FullBath,Bedrooms,HouseArea,LotArea,GarageCars,MasVnrArea,Exterior1st,YearRemodAdd
309000,NridgHt,2004,1.0,1.0,Very Good,Two story,Single-family,1,3,4,4260,13418,3,132.0,VinylSd,2005
145000,CollgCr,1994,1.0,0.0,Average,One story,Single-family,1,1,3,2866,10859,2,0.0,VinylSd,1995
153000,NAmes,1954,1.0,1.0,Average,One story,Single-family,0,1,3,3092,8532,2,650.0,Wd Sdng,1990
109000,NAmes,1953,1.0,0.0,Average,One story,Single-family,0,1,3,2360,7922,1,0.0,VinylSd,2007
82000,Edwards,1955,0.0,0.0,Below Average,One story,Duplex,0,2,2,1152,6040,0,0.0,AsbShng,1955
160000,NAmes,1965,1.0,1.0,Above Average,One story,Single-family,0,2,3,2852,8658,2,101.0,Wd Sdng,1965
170000,Timber,1959,1.0,1.0,Average,One story,Single-family,1,1,2,2986,16905,1,0.0,VinylSd,1959
144000,SawyerW,1983,1.0,0.0,Average,Split Foyer,Single-family,0,1,2,2228,9180,2,0.0,HdBoard,1983
130250,CollgCr,1975,1.0,0.0,Average,One story,Single-family,0,1,3,2184,9200,1,0.0,VinylSd,1980
141000,NAmes,1959,1.0,0.0,Average,One story,Single-family,0,1,3,2600,7945,1,0.0,BrkFace,1959
319900,NridgHt,2005,1.0,1.0,Excellent,One story,Townhouse,0,2,2,4080,7658,2,412.0,MetalSd,2005
239686,Mitchel,2003,1.0,1.0,Good,One and a half story,Single-family,1,1,1,4253,12822,2,0.0,VinylSd,2003
249700,Somerst,2006,1.0,0.0,Very Good,One story,Single-family,0,2,3,4138,11096,3,0.0,VinylSd,2006
113000,OldTown,1920,0.0,0.0,Below Average,Two story,Two-family,0,2,2,2188,4456,0,0.0,MetalSd,2008
127000,Sawyer,1966,1.0,0.0,Average,One story,Single-family,0,1,3,2296,7742,1,0.0,HdBoard,1966
177000,Gilbert,1997,1.0,0.0,Above Average,Two story,Single-family,0,2,3,2652,13869,2,0.0,VinylSd,1997
114500,BrkSide,1934,1.0,1.0,Above Average,One and a half story,Single-family,0,1,3,2160,6240,2,0.0,Wd Sdng,1950
110000,IDOTRR,1963,1.0,0.0,Average,One story,Duplex,0,1,2,2148,8472,2,0.0,Wd Sdng,1963
385000,Veenker,1981,1.0,1.0,Excellent,One story,Single-family,1,0,0,4578,50271,3,0.0,WdShing,1987
130000,NAmes,1955,1.0,1.0,Average,Split Level,Single-family,0,1,3,2316,7134,2,0.0,MetalSd,1955
180500,NAmes,1964,1.0,1.0,Above Average,One story,Single-family,0,2,3,3426,10175,2,272.0,HdBoard,1964
172500,Somerst,1999,1.0,0.0,Very Good,Two story,Townhouse,1,2,3,3189,2645,2,456.0,MetalSd,2000
196500,CollgCr,2004,1.0,0.0,Good,Two story,Single-family,1,2,3,3145,11645,2,0.0,VinylSd,2004
438780,StoneBr,2006,1.0,1.0,Very Excellent,Two story,Single-family,1,3,3,4996,13682,3,1031.0,VinylSd,2006
124900,CollgCr,1972,1.0,0.0,Average,One story,Single-family,0,1,2,1912,7200,1,0.0,HdBoard,1972
158000,SawyerW,2004,1.0,0.0,Above Average,One story,Single-family,1,1,3,2892,13072,2,0.0,VinylSd,2004
101000,IDOTRR,1920,1.0,0.0,Average,Two and a half story,Single-family,0,1,3,1929,7200,1,0.0,MetalSd,1996
202500,NridgHt,2006,1.0,1.0,Very Good,One story,Townhouse,0,2,2,3224,6442,2,178.0,VinylSd,2006
140000,OldTown,1921,1.0,0.0,Good,Two story,Single-family,0,2,3,2766,10300,2,0.0,Stucco,1950
219500,CollgCr,1997,1.0,0.0,Good,Two story,Single-family,1,2,3,3736,9375,2,573.0,VinylSd,1998
317000,NridgHt,2004,1.0,1.0,Very Good,Two story,Single-family,1,2,4,4468,9591,3,344.0,VinylSd,2005
180000,NAmes,1970,1.0,1.0,Good,One story,Single-family,0,2,3,4730,19900,2,287.0,Plywood,1989
226000,CollgCr,2003,1.0,0.0,Good,One story,Single-family,0,2,3,3490,10665,2,167.0,VinylSd,2003
80000,OldTown,1945,1.0,0.0,Below Average,One story,Single-family,0,1,2,1714,4608,1,0.0,MetalSd,1950
225000,ClearCr,1953,1.0,1.0,Good,One and a half story,Single-family,0,2,3,4258,15593,2,0.0,BrkFace,1953
244000,NAmes,1973,1.0,1.0,Good,One story,Single-family,0,2,3,4962,13651,2,1115.0,Plywood,1973
129500,Mitchel,1982,1.0,0.0,Below Average,One story,Single-family,0,1,2,2050,7599,2,0.0,HdBoard,2006
185000,Gilbert,1998,1.0,1.0,Good,Two story,Single-family,1,2,3,2977,10141,2,40.0,VinylSd,1998
144900,NAmes,1954,1.0,0.0,Average,One story,Single-family,0,1,3,2662,10200,2,104.0,Wd Sdng,2003
107400,OldTown,1915,1.0,0.0,Fair,Two story,Single-family,0,2,3,2824,5790,1,0.0,VinylSd,1950
91000,MeadowV,1973,1.0,0.0,Below Average,Split Level,Townhouse,0,1,2,1747,1596,1,0.0,CemntBd,1973
135750,NAmes,1956,1.0,0.0,Below Average,One story,Single-family,0,1,2,2187,8475,1,0.0,VinylSd,1956
127000,BrkSide,1948,1.0,0.0,Average,One and a half story,Single-family,0,1,2,2197,8635,1,0.0,Wd Sdng,2001
136500,Sawyer,1968,0.0,0.0,Below Average,One story,Duplex,0,2,4,3536,10778,0,0.0,HdBoard,1968
110000,OldTown,1910,1.0,0.0,Average,Two story,Single-family,1,1,2,2110,10440,2,0.0,Wd Sdng,1981
193500,NAmes,1968,1.0,1.0,Above Average,Two story,Single-family,1,2,4,3547,13000,1,576.0,VinylSd,1968
153500,Mitchel,1998,1.0,0.0,Above Average,One story,Townhouse,0,2,2,2979,4500,2,443.0,VinylSd,1998
245000,Somerst,2007,1.0,1.0,Very Good,One story,Single-family,0,2,3,3884,10206,3,468.0,VinylSd,2007
126500,NAmes,1960,1.0,0.0,Average,One story,Single-family,1,1,3,2591,8892,2,66.0,MetalSd,1960
168500,Gilbert,1995,1.0,1.0,Good,Split Level,Single-family,1,2,3,2258,8530,2,22.0,HdBoard,1996
260000,NoRidge,1991,1.0,1.0,Very Good,Two story,Single-family,1,2,4,4167,16059,2,284.0,HdBoard,1992
174000,Gilbert,2005,1.0,1.0,Above Average,Two story,Single-family,1,2,3,2644,11911,2,0.0,VinylSd,2005
164500,Somerst,2009,1.0,0.0,Above Average,Two story,Townhouse,1,2,2,2364,3951,2,76.0,VinylSd,2009
85000,IDOTRR,1915,0.0,0.0,Fair,One and a half story,Single-family,0,1,2,2026,8470,0,0.0,Plywood,1982
123600,CollgCr,1994,0.0,0.0,Below Average,One story,Single-family,0,1,3,1980,8070,0,0.0,VinylSd,1995
109900,NAmes,1950,1.0,0.0,Below Average,One story,Single-family,0,1,2,1460,7200,2,0.0,BrkFace,1950
98600,NAmes,1961,1.0,0.0,Average,One story,Single-family,0,1,2,2950,8500,2,203.0,HdBoard,1961
163500,Crawfor,1921,1.0,0.0,Average,One story,Single-family,0,1,2,2272,13360,2,0.0,Wd Sdng,2006
133900,OldTown,1910,1.0,1.0,Above Average,Two and a half story,Two-family,0,2,4,4011,7200,2,0.0,MetalSd,1998
204750,CollgCr,1997,1.0,0.0,Above Average,Two story,Single-family,1,2,3,3294,9337,2,0.0,VinylSd,1997
185000,Gilbert,1993,1.0,1.0,Above Average,Two story,Single-family,1,2,3,2570,9765,2,68.0,VinylSd,1993
214000,CollgCr,1999,1.0,0.0,Good,One story,Single-family,0,2,3,3648,10264,2,183.0,VinylSd,1999
94750,Edwards,1965,1.0,0.0,Below Average,One story,Single-family,0,1,3,2352,10921,1,48.0,HdBoard,1965
83000,Edwards,1920,1.0,0.0,Average,One story,Single-family,0,1,2,1659,10625,1,0.0,Wd Sdng,1950
128950,NAmes,1959,0.0,0.0,Below Average,One story,Single-family,1,1,3,2175,9320,0,0.0,Plywood,1959
205000,NWAmes,1977,1.0,1.0,Above Average,One story,Single-family,0,2,3,3700,10603,2,28.0,Plywood,2001
178000,SawyerW,1985,1.0,1.0,Above Average,Two story,Single-family,1,2,3,2949,9206,2,336.0,HdBoard,1985
118964,SawyerW,1979,1.0,0.0,Average,One story,Duplex,0,2,4,1945,7018,2,0.0,HdBoard,1979
198900,CollgCr,2009,1.0,0.0,Good,One story,Single-family,0,2,3,3192,10402,3,0.0,VinylSd,2009
169500,IDOTRR,1931,1.0,1.0,Good,One and a half story,Single-family,1,1,4,3098,7758,1,600.0,Stucco,1950
250000,Somerst,2003,1.0,1.0,Very Good,Two story,Single-family,1,2,3,3693,9375,2,768.0,VinylSd,2004
100000,OldTown,1885,1.0,0.0,Below Average,One story,Single-family,0,1,2,1961,10800,1,0.0,VinylSd,1995
115000,OldTown,1948,1.0,0.0,Average,One story,Single-family,0,1,2,1828,6000,1,0.0,VinylSd,1950
115000,IDOTRR,1919,0.0,0.0,Average,One and a half story,Single-family,0,2,3,2310,8500,0,0.0,CemntBd,2005
190000,NWAmes,1977,1.0,1.0,Above Average,One story,Single-family,0,2,3,4234,11751,2,480.0,Plywood,1977
136900,Edwards,1954,1.0,0.0,Above Average,One and a half story,Single-family,0,2,4,3174,9525,1,0.0,Wd Sdng,1972
180000,Gilbert,2000,1.0,1.0,Good,Split Level,Single-family,1,2,3,2214,7750,2,0.0,VinylSd,2000
383970,CollgCr,2007,1.0,1.0,Good,Two story,Single-family,1,2,4,4752,9965,3,220.0,VinylSd,2007
217000,Crawfor,1953,1.0,1.0,Above Average,One story,Single-family,0,2,3,4518,21000,2,184.0,Wd Sdng,1953
259500,Crawfor,1945,1.0,1.0,Above Average,Two story,Single-family,1,2,3,3528,7259,1,0.0,Wd Sdng,2002
176000,Somerst,1999,1.0,1.0,Above Average,Two story,Townhouse,1,2,2,2627,3230,2,1129.0,MetalSd,1999
139000,Sawyer,1962,1.0,1.0,Average,One story,Single-family,0,1,3,2472,11616,1,116.0,Wd Sdng,1962
155000,Edwards,2006,1.0,0.0,Average,One story,Single-family,1,1,2,2680,8536,2,0.0,VinylSd,2007
320000,SawyerW,1990,1.0,1.0,Good,Two story,Single-family,0,3,5,5489,12376,3,0.0,Plywood,1990
163990,CollgCr,2005,1.0,1.0,Above Average,Two story,Single-family,1,2,3,2574,8461,2,0.0,VinylSd,2006
180000,ClearCr,1969,1.0,1.0,Above Average,Split Level,Single-family,0,1,1,2466,21453,2,0.0,Plywood,1969
100000,IDOTRR,1939,1.0,0.0,Below Average,One and a half story,Single-family,0,1,3,2119,6060,1,0.0,AsbShng,1950
136000,NAmes,1958,1.0,0.0,Above Average,One story,Single-family,0,1,3,2448,9464,1,135.0,MetalSd,1958
153900,SawyerW,1993,1.0,0.0,Above Average,One story,Townhouse,0,2,2,2928,7892,2,0.0,Plywood,1993
181000,NWAmes,1979,1.0,1.0,Above Average,One story,Single-family,0,2,3,3383,17043,2,0.0,HdBoard,1998
84500,IDOTRR,1935,0.0,0.0,Above Average,One and a half story,Two-family,0,1,2,1040,6780,0,0.0,Wd Sdng,1982
128000,NPkVill,1976,1.0,1.0,Above Average,One story,Townhouse,0,2,2,2476,4928,2,0.0,Plywood,1976
87000,OldTown,1930,0.0,1.0,Average,One and a half story,Single-family,0,1,3,1512,4388,0,0.0,WdShing,1950
155000,NAmes,1966,1.0,1.0,Above Average,Two story,Single-family,1,1,3,2461,7590,2,266.0,VinylSd,1966
150000,NAmes,1958,1.0,0.0,Average,One story,Single-family,1,1,3,2811,8973,2,85.0,Plywood,1991
226000,NAmes,1966,1.0,1.0,Good,Two story,Single-family,1,2,4,3568,14200,2,309.0,MetalSd,1966
244000,Gilbert,2000,1.0,1.0,Above Average,Two story,Single-family,1,2,3,3436,12224,2,40.0,VinylSd,2000
150750,NAmes,1959,1.0,0.0,Average,One story,Single-family,0,1,3,3014,7388,2,0.0,MetalSd,2002
220000,Timber,2001,1.0,0.0,Very Good,One story,Single-family,0,2,2,3034,6853,2,136.0,VinylSd,2002
180000,Sawyer,1968,1.0,1.0,Average,One story,Single-family,1,2,3,3622,10335,2,0.0,Plywood,1993
174000,NWAmes,1970,1.0,1.0,Good,One story,Single-family,0,2,3,3516,10400,2,288.0,Plywood,1970
143000,NAmes,1967,1.0,1.0,Average,One story,Single-family,0,2,3,2746,10355,1,196.0,MetalSd,1967
171000,Mitchel,1988,1.0,0.0,Good,One story,Duplex,0,3,5,4632,11070,3,70.0,VinylSd,1989
230000,CollgCr,1999,1.0,1.0,Very Good,Two story,Single-family,1,2,3,3516,9066,3,320.0,VinylSd,2000
231500,CollgCr,1997,1.0,0.0,Above Average,Two story,Single-family,1,2,3,3162,15426,2,0.0,VinylSd,1997
115000,NAmes,1971,0.0,1.0,Below Average,One story,Single-family,0,1,3,1728,10500,0,0.0,HdBoard,1971
260000,CollgCr,2005,1.0,0.0,Good,One story,Single-family,0,2,3,4128,11645,2,0.0,VinylSd,2005
166000,NAmes,1952,1.0,0.0,Average,One and a half story,Single-family,0,2,4,3015,8520,2,0.0,BrkFace,1952
204000,CollgCr,1999,1.0,0.0,Good,One story,Single-family,0,2,3,3568,10335,2,183.0,VinylSd,1999
125000,Sawyer,1963,1.0,0.0,Average,One story,Duplex,0,2,6,3960,9100,2,336.0,HdBoard,1963
130000,Edwards,2004,1.0,0.0,Above Average,Two story,Townhouse,0,2,3,3059,2522,2,50.0,VinylSd,2006
105000,BrkSide,1931,1.0,0.0,Average,One story,Single-family,0,1,2,1770,6120,1,0.0,Wd Sdng,1993
222500,Gilbert,2001,1.0,1.0,Good,Two story,Single-family,1,2,3,3353,9505,2,180.0,VinylSd,2001
141000,SawyerW,2004,0.0,0.0,Good,One story,Single-family,0,1,3,2160,7500,0,120.0,VinylSd,2005
115000,BrkSide,1936,1.0,0.0,Average,One and a half story,Single-family,0,1,3,2480,6240,1,0.0,MetalSd,1950
122000,CollgCr,1975,1.0,0.0,Average,One story,Single-family,1,1,3,2378,10356,2,0.0,HdBoard,1975
372402,NridgHt,2007,1.0,1.0,Very Good,One story,Single-family,0,2,2,4286,13891,3,436.0,VinylSd,2008
190000,NWAmes,1971,1.0,1.0,Above Average,Two story,Single-family,1,2,4,3313,14803,2,252.0,HdBoard,1971
235000,ClearCr,1960,1.0,1.0,Above Average,One story,Single-family,0,1,1,3418,13500,2,0.0,BrkFace,1975
125000,OldTown,1923,1.0,0.0,Above Average,One story,Single-family,0,1,4,2712,11340,1,0.0,Wd Sdng,1950
79000,Edwards,1924,0.0,0.0,Above Average,One and a half story,Single-family,0,1,2,1668,9600,0,0.0,Wd Sdng,1950
109500,NAmes,1950,1.0,0.0,Average,One story,Single-family,0,1,2,1665,7200,2,0.0,Wd Sdng,1950
269500,Timber,2009,1.0,1.0,Very Good,Two story,Single-family,1,2,4,3422,12003,3,84.0,VinylSd,2010
254900,Somerst,2004,1.0,1.0,Good,Two story,Single-family,1,2,3,3616,12552,2,0.0,VinylSd,2005
320000,Gilbert,2005,1.0,1.0,Good,Two story,Single-family,1,2,4,4430,19378,2,456.0,VinylSd,2006
162500,Veenker,1984,1.0,0.0,Above Average,One story,Single-family,0,2,3,2980,11120,2,0.0,Plywood,1984
412500,NridgHt,2003,1.0,1.0,Excellent,Two story,Single-family,1,2,3,4966,13688,3,664.0,VinylSd,2004
220000,NridgHt,2005,1.0,1.0,Good,One story,Single-family,0,2,3,3614,12182,2,226.0,VinylSd,2005
103200,OldTown,1956,0.0,0.0,Below Average,One and a half story,Single-family,0,1,1,1764,5500,0,0.0,MetalSd,1956
152000,OldTown,1926,1.0,0.0,Above Average,One story,Single-family,0,2,3,2981,5400,1,0.0,MetalSd,2004
127500,Edwards,1940,0.0,0.0,Average,One and a half story,Two-family,0,2,4,1999,10106,0,0.0,Wd Sdng,1999
190000,ClearCr,1955,1.0,1.0,Average,One story,Single-family,0,1,2,3787,10708,1,0.0,Wd Sdng,1993
325624,NridgHt,2007,1.0,1.0,Very Good,Two story,Single-family,1,1,3,4532,10562,3,300.0,VinylSd,2007
183500,Gilbert,2004,1.0,1.0,Good,Two story,Single-family,1,2,3,3000,8244,2,0.0,VinylSd,2004
228000,Timber,1981,1.0,1.0,Very Good,One story,Single-family,1,2,2,3904,16669,2,653.0,Plywood,1981
128500,OldTown,1941,1.0,0.0,Average,One and a half story,Single-family,1,1,2,2234,12358,2,0.0,MetalSd,1950
215000,NAmes,1960,1.0,1.0,Above Average,One story,Single-family,0,1,3,3264,31770,2,112.0,BrkFace,1960
239000,StoneBr,1987,1.0,1.0,Good,Two story,Townhouse,0,2,2,3335,5306,2,0.0,HdBoard,1987
163000,NAmes,1961,1.0,1.0,Above Average,One story,Single-family,1,1,3,3228,10197,2,491.0,WdShing,1961
184000,Timber,1986,1.0,1.0,Above Average,One story,Single-family,0,2,3,3873,12416,2,132.0,VinylSd,1986
243000,Edwards,1950,1.0,1.0,Above Average,One story,Single-family,0,2,4,3936,12615,2,0.0,WdShing,2001
211000,ClearCr,1988,1.0,1.0,Above Average,Two story,Single-family,1,2,4,3732,10029,2,268.0,Plywood,1989
172500,Sawyer,1958,1.0,1.0,Average,One and a half story,Single-family,0,2,4,3423,13650,2,0.0,MetalSd,1958
501837,StoneBr,2008,1.0,1.0,Excellent,One story,Single-family,0,2,1,5616,17423,3,748.0,VinylSd,2009
100000,OldTown,1923,1.0,0.0,Average,One story,Single-family,0,1,2,2416,8520,2,0.0,Wd Sdng,2006
177000,Somerst,2000,1.0,1.0,Above Average,Two story,Townhouse,1,2,3,2721,2117,2,456.0,MetalSd,2000
200100,Crawfor,1920,1.0,1.0,Good,Two story,Single-family,1,1,4,2811,7588,1,0.0,Stucco,1950
120000,Edwards,1957,1.0,1.0,Average,One story,Single-family,0,1,3,1592,9060,1,98.0,Wd Sdng,2006
200000,OldTown,2003,1.0,0.0,Good,One and a half story,Single-family,1,2,3,3928,11426,2,0.0,VinylSd,2003
127000,BrkSide,1908,1.0,0.0,Average,One and a half story,Single-family,0,1,3,2332,7438,2,0.0,AsbShng,1991
475000,OldTown,1892,1.0,1.0,Very Excellent,Two and a half story,Single-family,1,2,4,4983,22950,3,0.0,Wd Sdng,1993
173000,Mitchel,1990,1.0,0.0,Good,Split Level,Single-family,0,2,3,2902,9947,2,0.0,HdBoard,1991
135000,OldTown,1916,1.0,0.0,Average,One and a half story,Single-family,1,2,3,2352,10410,1,0.0,HdBoard,1987
153337,SawyerW,1979,1.0,1.0,Average,Split Foyer,Duplex,2,0,2,2838,7018,2,275.0,Plywood,1979
286000,StoneBr,2001,1.0,1.0,Very Good,One story,Townhouse,1,1,0,3868,4923,2,0.0,CemntBd,2002
315000,Crawfor,1932,1.0,1.0,Very Good,Two story,Single-family,1,2,3,4020,10570,2,0.0,BrkFace,1994
184000,NAmes,1972,1.0,0.0,Good,Two story,Single-family,1,1,4,2688,7472,2,138.0,HdBoard,2004
192000,CollgCr,1999,1.0,0.0,Good,One story,Single-family,0,2,3,3528,9017,2,0.0,VinylSd,1999
130000,Edwards,2004,1.0,0.0,Good,Two story,Townhouse,0,2,3,3059,2522,2,50.0,VinylSd,2004
127000,CollgCr,1972,1.0,0.0,Average,One story,Single-family,0,1,3,2080,7180,1,0.0,HdBoard,1972
148500,NPkVill,1976,1.0,1.0,Above Average,Two story,Townhouse,1,2,3,2751,2280,2,0.0,Plywood,1976
311872,Somerst,2007,1.0,1.0,Good,One story,Single-family,0,2,3,4238,9416,3,205.0,CemntBd,2007
235000,NAmes,1918,1.0,1.0,Very Good,Two story,Single-family,0,2,4,4875,25419,2,0.0,Stucco,1990
104000,OldTown,1912,0.0,0.0,Above Average,Two and a half story,Single-family,0,1,5,2613,5520,0,0.0,Wd Sdng,1950
274900,NridgHt,2004,1.0,1.0,Very Good,One story,Single-family,0,2,3,4282,9591,3,262.0,VinylSd,2005
140000,Edwards,2003,1.0,0.0,Below Average,One story,Single-family,0,2,2,2682,8546,2,0.0,VinylSd,2004
171500,Mitchel,1977,1.0,1.0,Above Average,One story,Single-family,0,2,3,2948,10125,2,0.0,Plywood,1977
112000,OldTown,1924,1.0,0.0,Above Average,One and a half story,Single-family,0,2,2,2325,7000,1,0.0,MetalSd,1950
149000,CollgCr,2004,1.0,1.0,Above Average,One story,Townhouse,0,1,1,2116,4438,2,205.0,VinylSd,2004
110000,OldTown,1947,1.0,0.0,Average,One and a half story,Single-family,1,1,2,2244,3500,1,0.0,AsbShng,1950
180500,Gilbert,1990,1.0,0.0,Good,One story,Single-family,0,2,3,3366,11851,2,0.0,HdBoard,1990
143900,Sawyer,1962,1.0,1.0,Average,One story,Single-family,1,1,3,3185,13673,1,0.0,HdBoard,1962
141000,NAmes,1960,1.0,1.0,Below Average,One story,Single-family,0,1,3,2512,12493,1,0.0,Wd Sdng,1960
277000,SawyerW,1988,1.0,1.0,Good,Two story,Single-family,1,2,3,3673,14364,2,128.0,Plywood,1989
145000,NAmes,1964,1.0,0.0,Above Average,One story,Single-family,0,1,3,2688,8250,2,260.0,HdBoard,1964
98000,Edwards,1925,0.0,0.0,Average,One story,Single-family,0,1,2,1728,5604,0,0.0,Stucco,1950
186000,Edwards,2009,1.0,0.0,Above Average,One story,Single-family,0,2,3,2884,10420,2,0.0,VinylSd,2009
252678,Somerst,2009,1.0,1.0,Good,Two story,Single-family,1,2,3,3396,8640,2,0.0,VinylSd,2009
156000,CollgCr,1995,1.0,0.0,Average,One story,Single-family,0,1,3,2556,13568,2,0.0,VinylSd,1995
161750,CollgCr,1977,1.0,0.0,Above Average,Two story,Single-family,1,1,3,2380,10900,1,153.0,HdBoard,1977
134450,NAmes,1957,1.0,1.0,Average,One story,Single-family,0,1,2,2753,10011,1,64.0,HdBoard,1996
210000,CollgCr,2004,1.0,0.0,Good,One story,Single-family,0,2,3,3356,8450,2,266.0,VinylSd,2004
107000,OldTown,1925,1.0,0.0,Below Average,Two story,Single-family,0,1,3,2224,9906,1,0.0,MetalSd,1950
311500,Crawfor,1939,1.0,1.0,Good,One and a half story,Single-family,1,1,3,3183,15660,2,312.0,VinylSd,2006
167240,Blmngtn,2005,1.0,0.0,Good,One story,Townhouse,0,2,2,2934,3010,2,16.0,VinylSd,2006
204900,CollgCr,2006,1.0,0.0,Good,One story,Single-family,0,2,2,3671,8990,2,0.0,VinylSd,2006
200000,Gilbert,2002,1.0,1.0,Above Average,Two story,Single-family,1,2,4,3667,8068,2,0.0,VinylSd,2002
179900,NWAmes,1975,1.0,1.0,Above Average,Two story,Single-family,1,2,3,2699,11475,2,0.0,VinylSd,1975
97000,NAmes,1971,1.0,0.0,Below Average,One story,Single-family,0,1,2,2304,10500,2,0.0,HdBoard,1971
386250,NridgHt,2003,1.0,1.0,Very Excellent,One story,Single-family,0,2,3,5752,13472,3,922.0,VinylSd,2003
112000,BrDale,1971,1.0,0.0,Average,Two story,Townhouse,1,2,3,2212,1680,1,142.0,HdBoard,1971
290000,NoRidge,1995,1.0,1.0,Good,Two story,Single-family,1,2,4,4444,9950,3,290.0,VinylSd,1995
106000,BrDale,1970,1.0,0.0,Above Average,Two story,Townhouse,1,1,2,1750,1869,1,127.0,HdBoard,1970
125000,Sawyer,1967,1.0,1.0,Average,One story,Single-family,0,1,3,2160,8521,1,0.0,HdBoard,1967
192500,Blmngtn,2005,1.0,1.0,Good,One story,Townhouse,0,2,2,3358,3182,2,16.0,VinylSd,2006
148000,NAmes,1959,1.0,0.0,Above Average,One story,Single-family,0,1,3,2700,8760,1,220.0,MetalSd,1959
